,Unnamed: 0,0,1
0,0,I aimed for 5 minutes but it ended up taking six ... whoops :),150
1,1,This is a joke. This video has covered everything my class had to study for 2 years XD,350
2,2,"This is the best way to learn anything... like the greeks did it,,,,,
Study the whole, then the parts, then the whole again......
Thanks",166
3,3,protip: watch at 2x if you don't have time,190
4,4,"0:05 Comments
0:15 Arithmetic Operators 
0:20 Variables 
0:40 List",101
5,5,You literally just taught me more in 5 minutes than a full year at university,76
6,6,Great Video! Now do Quantum Physics in 5 minutes.,36
7,7,accidentally watched this video with 1.5 speed setting and im like damn this guy really wants to teach me python...fast!,38
8,8,"I love this video, fast and clear, that's how i prefer to learn, most of the code teachers are too slow, also on youtube there are hours and hours of videos just to explain this 6 minutes, nice video keep up with this stuff",24
9,9,"This is the very first time i was able to grasp the ""object oriented""  concept",26
10,10,"he sounded like ""daily dose of internets""",23
11,11,"I watch this video everyday in the morning so that I never forget these codes.
 print("" :-D "")",4
12,12,Thanks so much learned actually so much more than i have been learning for 1 year  😂,9
13,13,This was the longest 6 minutes of my life. It was also the most productive 6 minutes of my life,2
14,14,"This is the best teaching video I've ever seen,, straight to the point, cheers dude",5
15,15,"beautiful, almost everything I needed to know about python in 6 minutes, wow, thanks",4
16,16,"HowCode please complete tutorial series of your channel like C, Javascript, php and much more.....  Please man we need it....you are awesome.....",10
17,17,Great quick video and refresher for those looking to get the syntax coming from another language (without having to hear the concepts we already understand!). Thanks and keep it up!,3
18,18,"Yeah, I'm not following...",4
19,19,"If you already know a language, it's actually possible to learn the basics of another language in 5 minutes. You just need to know what everything is called and what the syntax is (and there's a lot of overlap for both of those).",2
20,20,U just taught me the thing I had to learn for up to 2 years in 5 minutes mistakenly 6 actually.,1
21,21,Damn we just learned about a year worth of python in 5 minutes XD,1
22,22,"to be honest I've been learning python for months and this is the best video I've ever seen. Please we need more videos on python like this one, and thank you for your great work!!",4
23,23,"Other YouTube will take 5-6 hours in just explaining this (talking from experience). It was a lot of stuff to take on, but hopefully I understood. Nice work.
I usually don't comment on videos. This was an exception",1
24,24,Put 2x speed .. learn whole python in less than 4 mins ... Think this is guiness record,3
25,25,"some teachers beat around the bush so much explaining how to print Hello World in a 1000 different ways, it's 10 hours of learning how to print Hello world. Yours was straight to the point.",2
26,26,The best programming tutorial I saw in my life.,1
27,27,YT: At this time no playback speed option 6.41x +/*. May be later.,0
28,28,"Except files, he covered my 3 months portion 😂🤣",1
29,29,April 2020: download python 🐍 direct to your frontal lobe using QR code saves time : learn python in 30 seconds 🤓ℹ️,0
30,30,Thanks a lot. Now I can go over it in detail and then rewatch it and that's how I learn Python in less than a day without any programming experience.,0
31,31,Thank you! One of the best videos ever to learn Python.,2
32,32,Holy shit this guy is amazing. He could fix the Bronx school system in one week.,0
33,33,13 year old kids when they think being random is funny: 1:43,1
34,34,Wouldnt say this is learn python in 5 minutes. Its witness python in 5 minutes!,3
35,35,i loved this video! thx <3,0
36,36,Thank you for making me learn PYTHON during quarantine!,0
37,37,"You would be so blessed for this bro😍😍but numpy,panda left to be covered but np✌️",1
38,38,Loved it. Straight to the point no nonsense 😂😂😂,0
39,39,"print(""This is print, enjoy python!"")",1
40,40,Now I'm adding Python to skill sets...this was fun...thanks!,1
41,41,"I love the turorial, could you please make separate video for each parts. and
 could you also make Django tutorial after Python?",0
42,42,Tip: Watch at 1.5x,0
43,43,Wow ! I just learnt it in 5 mins... those 5 mins made me a better person than before 😉 thanks !,0
44,44,It's a really good video I barely start learning in python there it's a lot of things that I don't understand,1
45,45,Literally learned more in this video than whole semester of uni,0
46,46,"I love it, thank you!",0
47,47,"Great Video if you know how to programm, but dont know python yet! Not drawn out for to long just showing the basics real quick",0
48,48,I did Python for 6 months and This video made me understand in 6 minutes. God dammit.,1
49,49,How do you skip to the next line in the terminal with no execute? Great video!,0
50,50,قلب اللوز ماشي,0
51,51,"Great, needed a quick rundown, did the job ;) thanks",0
52,52,"i love the interactive thing of python. but what bugs me, how to see in an interactive session what methods, objects, variables etc are available to me and what are their values ?",0
53,53,This... is who we call God.,2
54,54,Awesome video and the idea that people take forever to learn this makes me giggle,1
55,55,What the hack just happened. Great flow!,0
