,Unnamed: 0,0,1
0,0,"петь на Красной площади No More Sorrow,смелый шагXD,сейчас эта песня актуальна как никогда",12
1,1,"""Linki"" были лучшими, а Честер... - ЛЕГЕНДА!",5
2,2,"01:02 New divide
5:26 Papercut
8:37 Given up
12:14 Faint",126
3,3,"Всем кто там был кто смотрел, повезло им что увидели Честера собственными глазами...
Легенда легенд!",31
4,4,"Круто! первый раз видел полную версию, чем MTV сраный (извините за выражение) который неполную показали. светлый память Честер Беннингтон",43
5,5,Это лучший концерт! Бешеная атмосфера. Крутая публика! Мурашки по коже. Честер ты будешь жив в своих песнях!,4
6,6,Как не концерт в России - так эта солдатня и офицерьё стоит. Как они бесят ска. Когда же мы избавимся от этой помойной милитаризации общества. ,12
7,7,Here's an English comment if you're finding one,38
8,8,"5:23 ""Спасибо, Москва, давай веселее!"" - (с) - Майк Шинода, 2011",19
9,9,"Буквально вчера смотрел этот концерт в версии MTV, подумал что неплохо было бы весь концерт посмотреть))
А тут сегодня это)) ... афигеть!!!",57
10,10,"They sounds like they are in the studio , the new age lip syncing can never match their live performance",3
11,11,"до сих пор это самый лучшие концерт, столько эмоций! и усилий попасть туда тоже... и супер флеш-моб! круто, что полная версия снова в сети!",25
12,12,Огромное тебе СПАСИБО что залил!!!!!! надеюсь навсегда на ютубе это останется) ценное видео,4
13,13,"01:02 New divide 
5:26 Papercut 
8:37 Given up 
12:14 Faint ",3
14,14,"организаторы уроды это вообще бесплатный концерт был но непускали многих, далеко за ограждением многие стояли и. тока под конец впустили! весь концерт у сцены была кучка наверное 300-500человек это даже видно на видосе.",10
15,15,Miss you ssoooo soooos oooooo much cheaster.  😭😭,4
16,16,"Я дошёл до второй песни! ЧУВАК! ТОТ КТО ЭТО СДЕЛАЛ, ТЫ ПРОСТО ОХУЕНЕН!!!! 
Смотрю дальше!!!!",13
17,17,Не плохо сделано.Красавчик.     ЧЕСТЕР ЖИВ.,2
18,18,Ex Chester chto tiy nadelal?,4
19,19,Спасибо за полную версию ❤️,15
20,20,Спасибо!!!! Просто спасибо!!!!,10
21,21,люблю,3
22,22,"Бляха, до мурашек...",3
23,23,58:50 some is holding a troll face down right lmao,8
24,24,39:02 как же приятно видеть эту улыбку❤❤,2
25,25,До сих пор мурашки когда слышу - Честер Честер и вижу его выражение лица,5
26,26,"Выкладывал данное видео где-то в 2015 году (или даже раньше), через какое-то время Ютуб его удалил. Крутой концерт.",17
27,27,"Вот! Обсолютно живая версия концерта! Слышно на версии MTV кое-какую подкореектировку звука, а здесь всё звучит довольно живо и эмоционально!",2
28,28,"пля, этот конкурс от радио energy - просто пздц был",1
29,29,"You can see where it goes from Linkin Park’s filming, to the fan’s filming.",2
30,30,Блин какой же у него голос😍 жалко(( легенда,7
31,31,Alguien viendo en 2030?ahre,3
32,32,Legend,2
33,33,"Damn, at this time A thousand sun's was their latest album! LP ARMY! Love n miss you Chester!",1
34,34,Linkin park forever!,2
35,35,"박린킨 라이브 못본건 내 평생의 한으로 남을듯..
RIP chester",5
36,36,Нереальные!!!,2
37,37,love from indonesia...,1
38,38,Most epic! спасибо for posting the whole thing! :-),4
39,39,6:24,1
40,40,See Chester's moves in GIVEN UP! When he sang I'VE GIVEN UUUUUUUUUP! his mouth was still at I'M MY OWN WORST ENEMY!,2
41,41,"procurei muito por esse  show completo, até que enfim achei, thank you",1
42,42,"Кто то же склепал papercut, спасибо!)",1
43,43,me encantaba linking park uno de mis grupos favoritos de nu metal <3,1
44,44,Благодарочка за видос! Качество порадовало псц✌️,1
45,45,Спасибо!!!,2
46,46,INSANE CONCERT! INSANE EDITING!,2
47,47,"Очень очень круто,первый раз смотрю полную версию,  Спасибо большое",3
48,48,"Иван Астахов крутой чувак - сделал классную работу, нашел видео, свёл кадры и звук. Спасибо тебе большое. Это мой единственный концерт линков. Пересматриваю периодически и плачу. Плачу от счастья, что исполнил свою мечту и от того, что на концерт линков с честером больше никогда не попаду.",1
49,49,Выражение лица Честера...бесценно,1
50,50,"Всё очень,как надо,молодцы!!!",1
51,51,THANK YOOU,1
52,52,это навсегда,1
53,53,"Saludos desde Andalucia, España😘",1
54,54,Спасибо,1
55,55,모스크바에서 레전드 무대 만드셨네..체스터형..ㅠㅠ,1
56,56,The full concert awesome thanks!,3
57,57,Это ж надо какое качественное музло дедушка Ленин услышал😄,0
58,58,Джо Ханн на Стива Аоки был похож тогда,0
59,59,Exceptional,1
60,60,Очень круто ты объезжал все страны наверно (нет) но ты повесился 😔 хотя может нет но мне все равно грустно что не будет больше треков....,4
61,61,Saludos desde Perú.  En plena cuarentena,3
62,62,светлая память,1
63,63,Es un enfoque muy malo,1
64,64,para mi la mejor banda,2
65,65,2021?,0
66,66,сделайте тайминги,6
67,67,у него небыло  аппетита на протяжении всей жизни --а всё изза этой хни которой он жалился...жаль хороших композиторов...,2
68,68,Tracklist..?,0
69,69,Если концерт приурочен выходу второй части трансформеров то разве она вышла не  23.06.2009?,3
70,70,"Линкин Парк, Честер!!! Музыка и голос на все времена!!!! Много раз переслушивая и пересматривая их концерты, как в первый раз, не перестаю удивляться этой команде!!! Это великие ребята!!!!",0
71,71,"Очень жалею, что тогда в 2011 году не  пошел на концерт 😢",2
