,Unnamed: 0,0,1
0,0,very much helpful and the way of teaching is just awesome ....looking forward for coming videos,4
1,1,"Videos are amazing.. 
Plz solve tcs , Infosys, capg.,google , Microsoft,amazon",0
2,2,But overall explanation is good guru ji🙏🙏🙏,2
3,3,Thanks bro vedio or bnao,0
4,4,Your quiz2code is just panacea for the students.Excellent,3
5,5,Mza aa gya sir,3
6,6,"I have so many python quiz hahaha , may be you can answer it guys",0
7,7,1.0,0
8,8,i think there should be time countdown.,0
9,9,Sir q4 me 8 hoga na..plz confirm it,1
10,10,Nice bro...,0
11,11,Very helpful video..... thanku sir,4
12,12,Noice,0
13,13,Error,0
14,14,6th question answer is wrong,1
15,15,Pahle english phir hindi😂😂,2
16,16,I think 6 th ans is wrong.,0
17,17,Koshish acchi hai sir ji,2
