,Unnamed: 0,0,1
0,0,"All your videos are awesome, i would like to say thanks to you all. I'm learning python from your videos.",0
1,1,Maam Thanks for the video that too in hindi. Also python biggest use is now in IOT devices like Raspberry Pi.,1
2,2,Thnk u Maam....aur videos kb upload hongay Maam,0
3,3,concept samjh me achhi trh se aa jata haii.thamx learnvern,0
4,4,Next part kab aaega??,0
5,5,Madam aap python ek project banakr aese explain kar saktr hai?,1
6,6,Thnx maim  thoda najdik se maim nahi dikta system se nahi tho thoda zoom kr bataye,0
7,7,Mam iske aur parts kB upload Kroge aap?,4
8,8,Part two daliye,0
9,9,please upload all c programming in one video from basics to advance,0
10,10,Thanks good job.,0
11,11,"Hi, you are working  great job, 
Please  makes  kivy ,bulldozer pythons  videos, thank u for supporting  students",0
12,12,"Very good session for me
Thank you mam",0
13,13,thank you !,0
14,14,Thank you mam...thanks a lot...you are great...,0
15,15,Can inget ur no for personal trainning in python nd some industrial project exposure,0
16,16,How much time....you upload python all part.....and plss confrn who learn language with python complete,0
17,17,Apka koi app hai Kya,0
18,18,"Hi madam 
Bahut achha video hai.
Aap ka  course v bahut achha hai sir nd madam",0
19,19,Complete tutorial dala zero s advance tk,0
20,20,Mam Digital Marketing Ka Full Video Bhi Upload Kariye Na,0
21,21,I wanna use,0
22,22,apne mca kiya hai,0
23,23,Plz upload PART2 plz plz mam,0
24,24,"Thanks for the video.
Please give the 2nd part",1
25,25,please make more video mysql with python,0
26,26,Mam..... Next Vedios,0
27,27,"mam i like you your are great teacher mam i don't no but i will be learning this python, mam where is 3 part 4 part, i don't no help me",0
28,28,"Kya python ke liye java,C,C++  aana jaroori hai??",0
29,29,Good job mam,0
30,30,Video to dekh liye but certificate kaise milega,0
31,31,Hlo  I had tried  to  call  u but  your  number  is  switched  off,0
32,32,Nice video keep upload python video,0
33,33,Blur video plz  do something,0
34,34,nice mam,0
35,35,Nice video.very helpful .thanks for video in hindi.,0
36,36,very nice teaching thanks for video,0
37,37,Very very thanks for video,1
38,38,I think this is the best suitable place to learn python from beginning and mam app ki teaching style bahut achha lag ta hai.koi bhi asani se samjha sakta hai.well job mam👍👍👍 thanks for uploading this type of video 👏👏🙏🙏🙏🙏,1
39,39,thank u so much mam,0
40,40,34 bit wrong haha 32 bit there is no operating system in 34 bit,1
